AAA	Ansett Australia - Australia	ANSETT
OGE	Atlasjet Uuslararasi Havacilik A/S - Turkey	ATLASJET
OGI	Aerogisa - Mexico	AEROGISA
OGJ	Bakoji Airlines Services - Nigeria	BAKO AIR
OGN	Origin Pacific Airways - New Zealand	ORIGIN
OHK	Oasis Hong Kong Airlines - Hong Kong	OASIS
OHY	Onur Air - Turkey	ONUR AIR
OIC	Iwamoto Crane Co Ltd - Japan	UNKNOWN
OIX	Orion-x - Russia	ORIONIX
OJF	Occitania Jet Fleet - France	OCCITANIA
OJY	Florida Air - United States	OHJAY
OKA	Okay Airways - China	OKAYJET
OKJ	Okada Airlines - Nigeria	OKADA AIR
OKL	Oklahoma Department of Public Safety - United States	OKLAHOMA
OKP	Okapi Airways - Democratic Republic of Congo	OKAPI
OKS	Slok Air Gambia - Gambia	SLOK GAMBIA
OKT	Soko Aviation - Spain	SOKO AIR
OLA	Overland Airways - Nigeria	OVERLAND
OLC	Solar Cargo - Venezuela	SOLARCARGO
OLE	Operadora de Lineas Ejecutivas - Mexico	OPERADORA
OLO	Soloflight - United Kingdom	SOLO
OLR	Colaereos - Ecuador	COLAEREOS
OLS	Sol Linhas Aereas - AR	FLIGHT SOL
OLT	Ostfriesische Lufttransport - Germany	OLTRA
OLV	Aerolineas Olve - Mexico	OLVE
OLX	Olimex Aerotaxi - Czech Republic	OLIMEX
OLY	Olympic Aviation - Greece	OLAVIA
OMA	Oman Air - Oman	OMAN AIR
OMF	Omniflys - Mexico	OMNIFLYS
OMG	Aeromega - United Kingdom	OMEGA
OML	Organizacoes Mambra - Angola	MAMBRA
OMN	Sultan of Oman Air Force - Oman	MAJAN
OMR	Minair - Central African Republic	ORMINE
OMS	Omskavia Airline - Russia	OMSK
OND	Condomett - Italy	CONDOMETT
ONE	Oceanair - Brazil	OCEANAIR
ONG	Sonnig SA - Switzerland	SONNIG
ONM	Presidencia de La Republica de Guinea Ecuatorial - Equatorial Guinea	UNKNOWN
ONR	Air One Nine - Libya	EDER
ONT	Air Ontario - Canada	ONTARIO
ONY	Orange	Orange
ONZ	Jet Connect Ltd. - New Zealand	QANTAS JETCONNECT
OOM	Zoom Airlines - Canada	ZOOM
OOT	Out Of The Blue Air Safaris - South Africa	OOTBAS
OPA	Opal Air - Australia	UNKNOWN
OPC	Krystel Air Charter - United Kingdom	OPTIC
OPE	Soci‚t‚ 3 S Aviation (Aerope) - France	PONTOISAIR
OPS	Jet-Ops - United Arab Emirates	OPS-JET
OPT	Flight Options - United States	OPTIONS
OPV	Operadora de Veulos Ejectutivos - Mexico	OPERADORA DE VUELOS
ORA	Long Island Airlines - United States	LONG ISLAND
ORB	Orenburg Airlines - Russia	ORENBURG
ORC	Air Cordial Limited - United Kingdom	CORDIALE
ORD	Orange Air Services - Sierra Leone	ORANGE SERVICES
ORE	Orange Aviation - Israel	ORANGE AVIATION
ORF	Oman Royal Flight - Oman	OMAN
ORG	Oriental Airlines (Gambia) Limited - The Gambia	ORIEGAM
ORI	Orion Air Pte. Ltd. - Seychelles	ORION AIR
ORJ	Orange Air Sierra Leone - Sierra Leone	ORANGE SIERRA
ORK	Orca Air - Egypt	ORCA TAXI
ORL	On Air Limited - Canada	ON AIR
ORM	Orel State Air Enterprise - Russia	ORPRISE
ORN	Orient Airways - Pakistan	ORIENT LINER
ORO	C N Air - Spain	CAPRI
ORP	Aerocorp - Mexico	CORPSA
ORR	Operadora Turistica Aurora - Mexico	TURISTICA AURORA
ORS	Action Air - Italy	AVIATION SERVICE
ORT	Air Orient - France	AIR ORIENT
ORX	Orbit Express Airlines - Turkey	OREX
ORZ	Zorex - Spain	ZOREX
OSA	Open Sky Aviation - Lebanon	UNKNOWN
OSH	Osh Avia - Kyrgyzstan	OSH AVIA
OSL	Sosoliso Airlines - Nigeria	SOSOLISO
OSN	Aerosan - Mexico	AEROSAN
OSO	Aviapartner Limited Company - Russia	UNKNOWN
OSS	Servicios Aereos Noticiosos - Mexico	NOTICIOSOS
OST	Airline Alania - Russia	ALANIA
OSV	Vladikavkaz State Air Enterprise - Russian Federation	IRAIR
OSW	JetAfrica Swaziland - Swaziland	BEVO
OSY	Open Skies Consultative Commission - United States	OPEN SKIES
OTA	Organizacion De Transportes Aereos - Mexico	ORGANIZACION
OTG	One Two Go Airlines - Thailand	THAI EXPRESS
OTL	South Airlines - Ukraine	SOUTHLINE
OTM	Onetime Airlines Zambia - Zambia	ZEDTIME
OTN	LASTP - Sao Tome and Principe	LASTP
OTO	Aerovento, S.A. - Spain	OTO
OTP	Operadora de Transportes Aereos - Mexico	OPERADORA AEREO
OTR	Orient Airlines - Sudan	ORIENTROC
OTX	Aerotex - Kazakhstan	ZOTEX
OUA	Transport Aerien Ouest African - Senegal	QUEST AFRICAN
OUL	Air Atonabee - Canada	CITY EXPRESS
OVA	Ozark Virtual Airlines - USA	OZARK
OVC	Aerovic - Ecuador	UNKNOWN
OVE	Aeromover - Mexico	AEROMOVER
OVI	Aerovias Ejecutivas - Mexico	VIAS EJECUTIVAS
OVV	Orient Air - Syrian Arab Republic	ORIENTSYR
OWL	Miami Valley Aviation - United States	NIGHT OWL
OWN	Owens Group Ltd. - New Zealand	OWENSAIR
OWR	Crown Air Ltd. - Czech Republic	AIR CROWN
OWS	Cargosur - Spain	CARGOSUR
OXE	Oxaero - United Kingdom	OXOE
OXO	Million Air - United States	MILL AIR
OYE	Koda International - Nigeria	KODA AIR
OZB	Zona Blava, S.L. - Spain	ZONA BLAVA
OZG	Zori Air Cargo - Bulgaria	ZORI CARGO
OZJ	Ozjet Airlines - Australia	AUSJET
OZR	Ozark Air Lines - United States	OZARK
OZU	Hozu-Avia - Kazakhstan	HOZAVIA
OZW	Skywest Airlines - Australia	OZWEST
PAA	Clipper	Clipper
PAB	Pacific Air Boats - Canada	AIR BOATS
PAC	Polar Air Cargo - United States	POLAR
PAD	Professional Express Courier Service - United States	AIR PROFESSIONAL
PAE	Paisajes Espanoles - Spain	PAISAJES
PAF	Panaf Airways Limited - The Gambia	PANAF AIRWAYS
PAG	Perimeter Aviation - Canada	PERIMETER
PAH	Panorama Air Tour - United States	LANI
PAI	Paradise Airways - United States	SEA RAY
PAJ	Aliparma - Italy	ALIPARMA
PAK	Pacific Alaska Airlines - United States	PACIFIC ALASKA
PAL	Philippine Airlines - Philippines	PHILIPPINE
PAM	Phoenix Air Service - Germany	PHOENIX
PAO	Polynesian Airlines - Samoa	POLYNESIAN
PAP	Langtry Flying Group - United Kingdom	PROFLIGHT
PAQ	Pacific Air Express (Solomon Islands) Limited - Solomon Isla	SOLPAC
PAR	Pacific Rim Airways - Australia	PACRIM
PAS	Pelita Air Service - Indonesia	PELITA
PAT	PVI Airlines Team - Italy	TEAM
PAV	VIP Avia - Kazakhstan	NICOL
PAW	Premier Airways - USA	PREMIER
PAX	Pan Air - United States	PANNEX
PAY	Pacific Airways - ???	PACIFIC
PAZ	Point Afrique Niger - Niger	POINTAIR NIGER
PBA	PB Air - Thailand	PEEBEE AIR
PBB	Polizeihubschrauberstaffel Brandenburg - Germany	ADEBAR
PBC	Aerotaxis Paba - MX	PABA
PBI	Pacific Blue Airlines (NZ) - NZ	BLUEBIRD
PBL	DI Air - Serbia ansd Montenegro	DI AIR
PBN	Pacific Blue - New Zealand	BLUEBIRD
PBT	Air Parabet - Bangladesh	PARABET
PBU	Air Burundi - Burundi	AIR-BURUNDI
PBW	Polizeihubschrauberstaffel Baden-Wurtemberg - Germany	BUSSARD
PBY	Pearl Air Services - Uganda	PEARL SERVICES
PCA	Penya De L'Aire - Spain	PENA DEL AIRE
PCC	Perforadora Central - Mexico	PERFORADORA CENTRAL
PCD	Pacific Direct Airways - Fiji-Tonga	PACIFIC DIRECT
PCE	Pace Airlines - United States	PACE
PCF	Pacific Air Express - United States	PACIFIC EXPRESS
PCG	Aeropostal Cargo De Mexico - Mexico	POSTAL CARGO
PCH	Pilatus Flugzeugwerke - Switzerland	PILATUS WINGS
PCJ	Pacific Jet - United States	PACIFIC JET
PCK	Air Pack Express - Spain	AIRPACK EXPRESS
PCL	Pinnacle Air Group - United States	PINNACLE GROUP
PCM	Westair Industries - United States	PAC VALLEY
PCN	Princeton Aviation Corporation - United States	PRINCETON
PCO	Pacific Coastal Airline - Canada	PASCO
PCR	PAC Air - United States	PACAIR
PCS	Puget Air Charter Services	PUGET
PCT	Peace Air Togo - Togo	PEACEFUL
PCV	Pacific Aviation (Australia) - Australia	PACAV
PCW	Trans-Pacific Orient Airways - Philippines	PACIFIC ORIENT
PCX	Pacific Aviation (United States) - United States	UNKNOWN
PDA	Podilia-Avia - Ukraine	PODILIA
PDC	Potomac Air - United States	DISTRICT
PDD	Phillips Alaska - United States	PADA
PDE	Peruana De Aviacian - Peru	PERUANA
PDF	Pelican Air Services - South Africa	PELICAN AIRWAYS
PDG	PLM Dollar Group - United Kingdom	OSPREY
PDI	Paradise Island Airways - United States	PARADISE ISLAND
PDQ	PDQ Air Charter - United States	DISPATCH
PDR	COMAV - Namibia	SPEEDSTER
PDT	Piedmont Airlines (1948-1989) - United States	PIEDMONT
PDV	Elicar - Italy	ELICAR
PDY	Pen-Avia - United Kingdom	PENDLEY
PEA	Pan Europeenne Air Service - France	UNKNOWN
PEB	Benders Air - Sweden	PALEMA
PEC	Pacific East Asia Cargo Airlines - Philippines	PAC-EAST CARGO
PEG	Pelangi Air Sdn. Bhd. - Malaysia	PELANGI
PEI	Panamedia - Spain	PANAMEDIA
PEL	Aeropelican Air Services - Australia	PELICAN
PEM	Pem-Air - Canada	PEM-AIR
PEN	Peninsula Airways - United States	PENINSULA
PEP	PENTA - Pena Transportes Aereos, S.A.	AERO PENA
PER	Pioneers Limited - Pakistan	UNKNOWN
PET	Aerotransporte Petrolero - Colombia	AEROPETRO
PEV	Pegasus Aviation - Greece	PEGAVIATION
PEX	Pelican Express - United States	PELICAN EXPRESS
PFA	Pacific Flight Services - Singapore	PACIFIC SING
PFC	Pacific International Airlines - Panama	PACIFIC INTERNATIONA
PFI	Aerolineas Chihuahua - Mexico	PACIFICO CHIHUAHUA
PFN	Pan African Air Services - Sierra Leone	PANAFRICAN
PFO	Aerotrans Airlines Ltd. - Cyprus	CYPRUS AEROTRANS
PFR	Pacificair Airlines - United States	PACIFIC WEST
PFS	Prairie Flying Service - United States	PRAIRIE
PFT	Air Cargo Express International - United States	PROFREIGHT
PFZ	Propflight Air Services - Zambia	PROFLIGHT-ZAMBIA
PGA	Portugalia - Portugal	PORTUGALIA
PGE	Prestigeavia - Ukraine	PRESTO
PGF	Paragon Global Flight Support - United Kingdom	UNKNOWN
PGH	Pulkovo Aircraft Services - Russia	UNKNOWN
PGI	Panagra Airways - United States	PANAGRA
PGL	Premiair Aviation Services - United Kingdom	PREMIERE
PGO	Aerolineas Panamericanas de Carga Lda. (Pan Airlines Cargo C	PAN AIRLINES
PGP	Perm Airlines - Russia	PERM AIR
PGS	Tauranga Aer Club - New Zealand	UNKNOWN
PGT	Pegasus Airlines - Turkey	SUNTURK
PGU	Georgia Air Prague - Czech Republic	AIR PRAGUE
PGX	Paragon Air Express - United States	PARAGON EXPRESS
PHA	Phoenix Air Group - United States	GRAY BIRD
PHB	Phoebus Apollo Aviation - South Africa	PHOEBUS
PHC	Petroleum Helicopters de Colombia - Colombia	HELICOPTERS
PHD	Duncan Aviation - United States	PANHANDLE
PHE	Pawan Hans - India	PAWAN HANS
PHG	Phoenix Aviation - Kyrgyzstan	PHOENIX GROUP
PHH	Polizeihubschrauberstaffel Hessen - Germany	IBIS
PHI	Philips Aviation Services - Netherlands	PHILAIR
PHL	Phillips Michigan City Flying Service - United States	PHILLIPS
PHM	Petroleum Helicopters - United States	PETROLEUM
PHN	Phoenix Air Lines - Brazil	PHOENIX BRASIL
PHO	L&L Flygbildteknik - Sweden	PHOTOFLIGHT
PHP	Pannon Airlines Air-transporting Ltd. - Hungary	PANLINES
PHR	Al Farana Airline - Egypt	PHARAOH
PHS	Polizeihubschrauberstaffel Sachsen - Germany	PASSAT
PHT	Pan Havacilik Ve Ticaret - Turkey	PANANK
PHU	Pannon Air Service - Hungary	PANNON
PHV	Phenix Aviation - France	NEW BIRD
PHW	Ave.com - United Arab Emirates	PHOENIX SHARJAH
PHX	Phoenix 2000 Airtaxi Ltd. - Hungary	REBORN
PHY	Phoenix Avia - Armenia	PHOENIX ARMENIA
PIA	Pakistan International Airlines - Pakistan	PAKISTAN
PIC	Pacific Airlines - Vietnam	PACIFIC AIRLINES
PIE	Air South West - United Kingdom	PIRATE
PIF	Aeroservicios California Pacifico - Mexico	AEROCALPA
PIK	Polizeihuberschrauberstaffel Sachsen-Anhalt - Germany	POLICE IKARUS
PIL	Canada Jet Charters - Canada	PINNACLE
PIM	Pinframat - Angola	PINFRAMAT
PIN	Pacific International Airlines - United States	ROAD RUNNERS
PIO	Pioneer Airlines - United States	PIONEER
PIR	Pamir Airways - Afghanistan	PAMIR
PIT	Panair S.p.A. - Italy	PANAIRFLY
PIU	43 Air School - ZA	PRIMA
PIV	Sokol - Russia	AEROSOKOL
PIX	Metropix UK - United Kingdom	METROPIX
PJA	Private Jet Management - United States	PRIVATE FLIGHT
PJE	Private Jet Expeditions - United States	PEE JAY
PJJ	Airspeed Aviation - US	ADVANTAGE
PJP	Princely Jets - Pakistan	PRINCELY JETS
PJS	Jet Aviation - Switzerland	JETAVIATION
PJT	Partner Jet - CA	PARTNERJET
PKA	AST Pakistan Airways - Pakistan	PAKISTAN AIRWAY
PKP	Mountain Air Express - United States	PIKES PEAK
PKR	Pakker Avio - Estonia	PAKKER AVIO
PKT	Pektron Limited - United Kingdom	PEKTRON
PKW	Pak West Airlines - United States	PLATINUM WEST
PKZ	Prime Aviation - Kazakhstan	PRAVI
PLA	Polynesian Air-Ways - United States	POLYAIR
PLB	Polynesian Blue - New Zealand	POLYBLUE
PLC	Police Aviation Services - United Kingdom	SPECIAL
PLE	Pas Airlines - Venezuela	PASAIR
PLF	Polish Air Force - Poland	POLISH AIRFORCE
PLI	Aeroperï¿½ - Peru	Aeroperu
PLK	Pulkovo Aviation Enterprise - Russia	PULKOVO
PLL	Air Pal - Spain	AIRPAL
PLM	Palmair - Spain	PALMA
PLN	Planar - Angola	PLANAR
PLR	polAir Airlines - Poland	POLAIR
PLS	Pulse	Pulse
PLT	South Carolina Aeronautics Commission - United States	PALMETTO
PLU	Plusair-va - Germany	PLUSAIR
PLX	Pool Aviation - United Kingdom	POOLEX
PLY	Puma Linhas Aereas - Brazil	PUMA BRASIL
PLZ	Planet Airways - United States	PLANET
PMA	Pan Malaysian Air Transport - Malaysia	PAN MALAYSIA
PMC	Primas Courier - United States	PRIMAC
PME	Premiair Fliyng Club - United Kingdom	ADUR
PMJ	Paramount Jet - US	MAJESTIC
PML	Eliair S.r.l. - Italy	MOVE
PMM	Primair - Russia	PRIMAVIA
PMO	Polar Airlines de Mexico - Mexico	POLAR MEXICO
PMR	Servicios Aereos Premier - Mexico	SERVICIOS PREMIER
PMS	Planemaster Services - United States	PLANEMASTER
PMT	PMTair - Cambodia	MULTITRADE
PMU	Premium Aviation - Germany	PREMIUM
PMV	Polizeihubschrauberstaffel Mecklenburg-Vorpommern - Germany	POLICE MERLIN
PMW	Paramount Airways - India	PARAWAY
PMX	Petroleos Mexicanos - Mexico	PEMEX
PMY	Phetchabun Airline - Thailand	PHETCHABUN AIR
PNA	PannonAir	PannonAir
PNC	Pan-Air - Mexico	PANAIRSA
PND	Pond Air Express - United States	POND AIR
PNE	Peninter Aerea - Mexico	PENINTER
PNF	Panafrican Airways - Ivory Coast	PANWAYS
PNG	Puerto Rico National Guard - United States	UNKNOWN
PNH	Panh - Russia	KUBAN LIK
PNL	Aero Personal - Mexico	AEROPERSONAL
PNM	Panorama - Spain	PANORAMA
PNP	Pineapple Air - Bahamas	PINEAPPLE AIR
PNR	PAN Air - Spain	SKYJET
PNS	Survey Udara (Penas) - Indonesia	PENAS
PNT	Balmoral Central Contracts - South Africa	PORTNET
PNU	Aero Servicios Platinum - Mexico	AERO PLATINUM
PNV	Panavia, S.A. - Panama	PANAVIA
PNW	Palestinian Airlines - Egypt	PALESTINIAN
PNX	Phoenix (Virtual) Flight Services - United Kingdom	PHOENIX
PNY	Polish Navy - Poland	POLISH NAVY
POA	Portuguese Army - Portugal	PORTUGUESE ARMY
POB	Servicios Aereos Poblanos - Mexico	POBLANOS
POC	Pocono Air Lines - United States	POCONO
POD	PACT Proair Charter Transport GmbH - Germany	FREIGHTDOGS
POE	Porter Airlines - Canada	PORTER AIR
POF	Police Aux Frontiers - France	AIRPOL
POI	BGB Air - Kazakhstan	BOJBAN
POL	Polonaise Polish Vitrual Airlines - Poland	POLONAISE
POM	Prompt Air - Equatorial Guinea	PROMPTAIR
PON	Portuguese Navy - Portugal	PORTUGUESE NAVY
POR	Porteadora De Cosola - Mexico	PORTEADORA
POT	Polet - Russia	POLET
POV	Meridian - Ukraine	AIR POLTAVA
POW	Hagondale Limited - United Kingdom	AIRNET
POY	Apoyo Aereo - Mexico	APOYO AEREO
PPA	Propheter Aviation - United States	AIR PROP
PPC	Palau Asia Pacific Airlines - Palau	PALAU ASIAPAC
PPG	Phoenix Air Transport - United States	PAPAGO
PPH	Polizeihibschrauberstaffel Neidersachsen - Germany	POLICE PHOENIX
PPK	Ramp 66 - United States	PELICAN
PPL	Pluto Airlines LLC - United Arab Emirates	PLUTO AIR
PPM	Pacific Pearl Airways - Philippines	PACIFIC PEARL
PPQ	Personas Y Pasquetes Por Air - Mexico	PERSONSPAQ
PPS	Butte Aviation - United States	PIPESTONE
PPT	Pro Patria Air Ltd. - Hungary	PROPATRIA
PPW	Royal Phnom Penh Airways - Cambodia	PHNOM-PENH AIR
PQA	Pacific Coast Airlines - United States	SAGE BRUSH
PRA	Pars Aviation Service - Iran	PARSAVIA
PRC	Pacific Air Charter - United States	PACIFIC CHARTER
PRD	Presidential Aviation - United States	PRESIDENTIAL
PRE	Precision Airlines - United States	PRECISION
PRF	Precision Air - Tanzania	PRECISION AIR
PRG	Empresa Aero-Servicios Parrague - Chile	ASPAR
PRH	Pro Air - United States	PROHAWK
PRI	Primera Air - Scandinavia	PRIMERA
PRJ	Aero Servicios Pro-Bajio, S.A. de C.V. - Mexico	PROBAJIO
PRL	Pearl Air - Pakistan	PEARL LINE
PRM	Prime Air - United States	PRIME AIR
PRN	Pirinair Express - Spain	PRINAIR EXPRESS
PRO	Propair - Canada	PROPAIR
PRP	PRT Aviation - Spain	PRONTO
PRR	Paramount Airlines - Sierra Leone	PARAMOUNT
PRT	Atlantic Coast Jet - United States	PATRIOT
PRV	Provincial Express - Canada	PROVINCIAL
PRX	VIP Avia - Latvia	PAREX
PRY	Priority Air Charter - United States	PRIORITY AIR
PRZ	Air Paradise International - Indonesia	RADISAIR
PSA	Pacific Island Aviation - United States	PACIFIC ISLE
PSC	Pascan Aviation - Canada	PASCAN
PSD	President Airlines - Cambodia	UNKNOWN
PSE	Aeroservicio Sipse - Mexico	SIPSE
PSF	Plymouth School of Flying - United Kingdom	LIZARD
PSG	Aviones Para Servirle - Mexico	SERVIAVIONES
PSH	Red Aviation - United Kingdom	PASSION
PSI	Pont International Airline Services - Suriname	PONT
PSK	Prescott Support Company - US	SUPPORT
PSL	Aeroservicios Corporativos De San Luis - Mexico	CORSAN
PSN	Potosina Del Aire - Mexico	POTOSINA
PSP	Publiservicios Aereos - Mexico	PUBLISERVICIOS
PSQ	Aviones Para Serviale, S.A. de C.V. - Mexico	SERVIAVIONES
PSR	Polestar Aviation - United Kingdom	POLESTAR
PSS	TSSKB-Progress - Russia	PROGRESS
PST	PSTAIR - Brazil	PAULISTA
PSU	Aeropeninsular, S.A. de C.V. - Mexico	AEROPENINSULAR
PSV	Servicios Aereos Profesionales - Dominican Republic	PROSERVICIOS
PSW	Pskovavia - Russia	PSKOVAVIA
PSX	Pacific Southwest Airlines - United States	SMILEY
PSZ	Pro Air Service - United States	POP-AIR
PTA	Ptarmigan Airways - Canada	PTARMIGAN
PTB	Passaredo Transportes Aereos - Brazil	PASSAREDO
PTC	Patria Cargas Aereas - Argentina	PATRIA
PTD	Aero Servicio Pity - Mexico	PITY
PTE	Aero Copter - Mexico	UNKNOWN
PTF	Prest'affair - France	PREST-AFFAIR
PTG	PrivatAir GmbH - DE	PRIVATJET
PTH	Proteus Helicopteres - France	PROTEUS
PTI	Privatair - Switzerland	PRIVATAIR
PTK	Petropavlovsk-Kamchatsk Air Enterprise - Russia	PETROKAM
PTL	Providence Airline - United States	PLANTATION
PTM	Southeastern Airways - United States	POSTMAN
PTN	Pantanal Linhas AÃ©reas - Brazil	PANTANAL
PTO	Potomac Airways - USA	POTOMAC
PTP	Palau Trans Pacific Airline - Palau	TRANS PACIFIC
PTQ	Port Townsend Airways - United States	TOWNSEND
PTR	Nova Scotia Department of Lands and Forests - Canada	PATROL
PTS	Points of Call Airlines - Canada	POINTSCALL
PTT	Promotora Industria Totolapa - Mexico	TOTOLAPA
PTV	Puntavia Air Services - Djibouti	PUNTAVIA
PTY	Petty Transport - United States	PETTY
PTZ	North-West Air Forest Fire Center - Russian Federation	LESAVIA
PUA	PLUNA - Uruguay	PLUNA
PUE	Aeropuelche - Chile	PUELCHE
PUG	RallyeAir - Spain	RALLYEAIR
PUR	Spurwing Airlines - South Africa	SPURWING
PUT	Aeroput - Serbia	UNKNOWN
PUV	Publivoo - Portugal	PUBLIVOO
PVA	Aerotransportes Privados - Mexico	TRANSPRIVADO
PVE	Plan Aeronaves - MX	PLAN AERONAVES
PVG	Privilege Style Lï¿½neas Aï¿½reas - Spain	PRIVILEGE
PVI	Panavia - Panama	UNKNOWN
PVK	Association of Private Pilots of Kazakhstan - Kazakhstan	BORIS
PVL	Professione VOlare - Italy	VOLARE
PVO	Bearing Supplies Limited - United Kingdom	PROVOST
PVU	Peau Vava'u - Tonga	PEAU
PVV	Continental Airways - Russia	CONTAIR
PWA	Priester Aviation - United States	PRIESTER
PWC	Pratt and Whitney Canada - Canada	PRATT
PWD	Pan Am World Airways - Dominican Republic	UNKNOWN
PWF	Private Wings Flugcharter - Germany	PRIVATE WINGS
PWL	Powell Air - Canada	POWELL AIR
PXA	Pecotox Air - Moldova	PECOTOX
PXP	Pacific Air Transport - United States	PAK EXPRESS
PXX	Aroostook Aviation - United States	PINE STATE
PYC	Aeropycsa - Mexico	AEROPYCSA
PYN	Haverfordwest Air Charter Services - United Kingdom	POYSTON
PYR	Pyramid Air Lines - Egypt	PYAIR
PYZ	Players Air - United States	PLAYERS AIR
PZA	Aereo Taxi Paraza - Mexico	AEREO PARAZA
PZL	PZL - Panstwowe Zaklady Lotnicze	SKYPOL-AIR
PZR	Sky Trek International Airlines - United States	PHAZER
QAC	Qatar Air Cargo - Qatar	QATAR CARGO
QAF	Qatar Amiri Flight - Qatar	AMIRI
QAH	Quick Airways Holland - Netherlands	QUICK
QAJ	Quick Air Jet Charter - Germany	DAGOBERT
QAQ	Qurinea Air Service - Libya	QURINEA AIR
QAS	Quisqueya Airlines - Haiti	QUISQUEYA
QAT	Aero Taxi - Canada	AIR QUASAR
QCA	Aerspace Consortium Limited - Kenya	AERO KENYA
QCC	Qwest Commuter Corporation - United States	QWEST AIR
QCL	Air Class Lineas Aereas - Uruguay	ACLA
QEA	Aviation Consultancy Office - Australia	UNKNOWN
QFA	Qantas - Australia	QANTAS
QFL	QantasLink - AU	QANTASLINK
QFZ	Fars Qeshm Air Lines - IR	FARS QESHM
QGA	Windrose Air - Germany	QUADRIGA
QID	USAF 100th Air Refuelling Wing - United States	QUID
QJA	Quickjet Aviation (Pty) Ltd. - Namibia	QUICKJET
QKC	Aero Taxi Aviation - United States	QUAKER CITY
QLA	Aviation Quebec Labrador - Canada	QUEBEC LABRADOR
QNA	Queen Air - Dominican Republic	QUEEN AIR
QNK	Kabo Air - Nigeria	KABO
QNT	Qanot Sharq - Uzbekistan	QANAT SHARQ
QNZ	JetConnect - New Zealand	QANTAS JETCONNECT
QQA	Alliance Airlines PTY Limited - Australia	ALLI
QRT	4D Air - Thailand	QUARTET
QSC	African Safari Airways - Kenya	ZEBRA
QTR	Qatar Airways - Qatar	QATARI
QTX	Quantex Environmental - Canada	AIR QUANTEX
QUE	Quebec Government Air Service - Canada	QUEBEC
QUI	Aero Quimmco - Mexico	QUIMMCO
QVR	Kvadro Aero - Kyrgyzstan	PEGASO
QWA	Qwestair - Australia	UNKNOWN
QWL	Qwila Air - South Africa	Q-CHARTER
QXE	Horizon Air - United States	HORIZON AIR
RA	Regional - France	REGIONAL EUROPE
RAA	Rynes Aviation - United States	RYNES AVIATION
RAB	Rila Airlines, Joint Stock Company - Bulgaria	RILA
RAC	Icar Air - Bosnia and Herzegovina	TUZLA AIR
RAD	Alada - Angola	AIR ALADA
RAE	Regional - France	REGIONAL EUROPE
RAF	Farnas Aviation Services - Sudan	FARNAS
RAG	Regio Air - Germany	GERMAN LINK
RAH	Regent Air - Canada	REGENT
RAI	Aerotur-Air - Kazakhstan	DIASA
RAJ	Raji Airlines - Pakistan	RAJI
RAK	Riga Airclub - Latvia	SPORT CLUB
RAL	Roswell Airlines - United States	ROSWELL
RAM	Royal Air Maroc - Morocco	ROYALAIR MAROC
RAN	Renan - Moldova	RENAN
RAP	Air Center Helicopters - United States	RAPTOR
RAQ	Rath Aviaton - Austria	RATH AVIATION
RAR	Rotation International Air Services - Ethiopia	ROTATION AIR
RAS	Jim Ratliff Air Service - United States	SHANHIL
RAT	Chief Rat Flight Services - South Africa	RIVERRAT
RAU	Uganda Royal Airways - Uganda	UGANDA ROYAL
RAV	Reed Aviation - United Kingdom	REED AVIATION
RAX	Royal Air Freight - United States	AIR ROYAL
RAY	Regional Air Services - Czech Republic	REAS
RAZ	Rijnmond Air Services - Netherland	RIJNMOND
RBA	Royal Brunei Airlines - Brunei	BRUNEI
RBB	Rabbit-Air - Switzerland	RABBIT
RBC	Republicair - Mexico	REPUBLICAIR
RBD	Trans World Express - United States	RED BIRD
RBE	Aur Rum Benin - Benin	RUM BENIN
RBH	Regal Bahamas International Airways - Bahamas	CALYPSO
RBJ	Aeroserivios Del Bajio - Mexico	AEROBAJIO
RBN	Red Baron Aviation - United States	RED BARON
RBO	Rainbow Cargo Express - Ghana	RACE
RBT	Robinton Aero - Dominican Republic	ROBIN
RBU	Airbus France - France	AIRBUS FRANCE
RBV	Air Roberval - Canada	AIR ROBERVAL
RBW	Shandong Airlines Rainbow Jet - China	CAI HONG
RBX	Arubaexel - Aruba	ARUBA
RBY	Vision Airlines - US	RUBY
